WEP,r,k,Result
3,0.91,5,2.87622981801
3,0.91,6,3.09394042478
3,0.91,7,3.25722347445
3,0.91,8,3.37968575532
3,0.91,9,3.4715324664
3,0.91,10,3.54041749968
3,0.92,1,1
3,0.92,2,1.69
3,0.92,3,2.2111
3,0.92,4,2.601709
3,0.92,5,2.89467871
3,0.92,6,3.1144052149
3,0.92,7,3.27920014023
3,0.92,8,3.40279633143
3,0.92,9,3.495493475
3,0.92,10,3.56501633266
3,0.93,1,1
3,0.93,2,1.6975
3,0.93,3,2.22338125
3,0.93,4,2.61764748438
3,0.93,5,2.91335475707
3,0.93,6,3.13513481275
3,0.93,7,3.30146987546
3,0.93,8,3.42622117138
3,0.93,9,3.51978464339
3,0.93,10,3.58995724738
3,0.94,1,1
3,0.94,2,1.705
3,0.94,3,2.235775
3,0.94,4,2.633765125
3,0.94,5,2.93226181938
3,0.94,6,3.15613415563
3,0.94,7,3.32403841612
3,0.94,8,3.44996661112
3,0.94,9,3.54441275738
3,0.94,10,3.61524736708
3,0.95,1,1
3,0.95,2,1.7125
3,0.95,3,2.24828125
3,0.95,4,2.65006445312
3,0.95,5,2.95140383301
3,0.95,6,3.17740829376
3,0.95,7,3.34691164211
3,0.95,8,3.47403915326
3,0.95,9,3.56938478664
3,0.95,10,3.64089401166
3,0.96,1,1
3,0.96,2,1.72
3,0.96,3,2.2609
3,0.96,4,2.666548
3,0.96,5,2.97078481
3,0.96,6,3.1989623932
3,0.96,7,3.37009558133
3,0.96,8,3.4984454724
3,0.96,9,3.59470789071
3,0.96,10,3.66690470444
3,0.97,1,1
3,0.97,2,1.7275
3,0.97,3,2.27363125
3,0.97,4,2.68321829688
3,0.97,5,2.99040883832
3,0.97,6,3.22080173864
3,0.97,7,3.39359641401
3,0.97,8,3.52319242053
3,0.97,9,3.62038942542
3,0.97,10,3.69328717909
3,0.98,1,1
3,0.98,2,1.735
3,0.98,3,2.286475
3,0.98,4,2.700077875
3,0.98,5,3.01028008188
3,0.98,6,3.24293173627
3,0.98,7,3.41742047708
3,0.98,8,3.54828703269
3,0.98,9,3.64643694939
3,0.98,10,3.72004938692
3,0.99,1,1
3,0.99,2,1.7425
3,0.99,3,2.29943125
3,0.99,4,2.71712926562
3,0.99,5,3.03040278051
3,0.99,6,3.26535791665
3,0.99,7,3.44157426875
3,0.99,8,3.57373653283
3,0.99,9,3.67285823089
3,0.99,10,3.74719950443
4,0.88,1,1
4,0.88,2,1.44
4,0.88,3,1.6636
4,0.88,4,1.775184
4,0.88,5,1.83098896
4,0.88,6,1.8588906624
4,0.88,7,1.87284156026
4,0.88,8,1.87981700638
4,0.88,9,1.88330472962
4,0.88,10,1.88504859122
4,0.89,1,1
4,0.89,2,1.445
4,0.89,3,1.670525
4,0.89,4,1.783121125
4,0.89,5,1.83942833813
4,0.89,6,1.8675814414
4,0.89,7,1.88165802072
4,0.89,8,1.88869630886
4,0.89,9,1.89221545301
4,0.89,10,1.89397502508
4,0.9,1,1
4,0.9,2,1.45
4,0.9,3,1.6775
4,0.9,4,1.791125
4,0.9,5,1.84794375
4,0.9,6,1.8763528125
4,0.9,7,1.89055735938
4,0.9,8,1.89765963203
4,0.9,9,1.9012107684
4,0.9,10,1.90298633658
4,0.91,1,1
4,0.91,2,1.455
4,0.91,3,1.684525
4,0.91,4,1.799196375
4,0.91,5,1.85653616313
4,0.91,6,1.88520587266
4,0.91,7,1.89954073573
4,0.91,8,1.90670816689
4,0.91,9,1.91029188249
4,0.91,10,1.91208374029
4,0.92,1,1
4,0.92,2,1.46
4,0.92,3,1.6916
4,0.92,4,1.807336
4,0.92,5,1.86520656
4,0.92,6,1.8941417376
4,0.92,7,1.9086093305
4,0.92,8,1.91584312678
4,0.92,9,1.91946002493
4,0.92,10,1.921268474
4,0.93,1,1
4,0.93,2,1.465
4,0.93,3,1.698725
4,0.93,4,1.815544625
4,0.93,5,1.87395593813
4,0.93,6,1.90316154217
4,0.93,7,1.91776434602
4,0.93,8,1.92506574789
4,0.93,9,1.92871644882
4,0.93,10,1.93054179929
4,0.94,1,1
4,0.94,2,1.47
4,0.94,3,1.7059
4,0.94,4,1.823823
4,0.94,5,1.88278531
4,0.94,6,1.9122664407
4,0.94,7,1.92700700678
4,0.94,8,1.9343772898
4,0.94,9,1.93806243131
4,0.94,10,1.93990500206
4,0.95,1,1
4,0.95,2,1.475
4,0.95,3,1.713125
4,0.95,4,1.832171875
4,0.95,5,1.89169570313
4,0.95,6,1.92145760742
4,0.95,7,1.93633855981
4,0.95,8,1.943779036
4,0.95,9,1.9474992741
4,0.95,10,1.94935939315
4,0.96,1,1
4,0.96,2,1.48
4,0.96,3,1.7204
4,0.96,4,1.840592
4,0.96,5,1.90068816
4,0.96,6,1.9307362368
4,0.96,7,1.94576027526
4,0.96,8,1.95327229449
4,0.96,9,1.95702830411
4,0.96,10,1.95890630892
4,0.97,1,1
4,0.97,2,1.485
4,0.97,3,1.727725
4,0.97,4,1.849084125
4,0.97,5,1.90976373813
4,0.97,6,1.94010354393
4,0.97,7,1.95527344684
4,0.97,8,1.9628583983
4,0.97,9,1.96665087403
4,0.97,10,1.96854711189
4,0.98,1,1
4,0.98,2,1.49
4,0.98,3,1.7351
4,0.98,4,1.857649
4,0.98,5,1.91892351
4,0.98,6,1.9495607649
4,0.98,7,1.96487939235
4,0.98,8,1.97253870608
4,0.98,9,1.97636836294
4,0.98,10,1.97828319137
4,0.99,1,1
4,0.99,2,1.495
4,0.99,3,1.742525
4,0.99,4,1.866287375
4,0.99,5,1.92816856312
4,0.99,6,1.95910915718
4,0.99,7,1.97457945421
4,0.99,8,1.98231460273
4,0.99,9,1.98618217699
4,0.99,10,1.98811596412
5,0.88,1,1
5,0.88,2,1.264
5,0.88,3,1.344496
5,0.88,4,1.368598144
5,0.88,5,1.37583046682
5,0.88,6,1.37800010319
5,0.88,7,1.37865099628
5,0.88,8,1.37884626413
5,0.88,9,1.37890484449
5,0.88,10,1.3789224186
5,0.89,1,1
5,0.89,2,1.267
5,0.89,3,1.348189
5,0.89,4,1.372509763
5,0.89,5,1.37980717782
5,0.89,6,1.38199636313
5,0.89,7,1.38265312002
5,0.89,8,1.38285014704
5,0.89,9,1.38290925515
5,0.89,10,1.38292698758
5,0.9,1,1
5,0.9,2,1.27
5,0.9,3,1.3519
5,0.9,4,1.376443
5,0.9,5,1.38380671
5,0.9,6,1.3860157987
5,0.9,7,1.38667852604
5,0.9,8,1.38687734422
5,0.9,9,1.38693698967
5,0.9,10,1.38695488331
5,0.91,1,1
5,0.91,2,1.273
5,0.91,3,1.355629
5,0.91,4,1.380398017
5,0.91,5,1.38782925354
5,0.91,6,1.39005861015
5,0.91,7,1.39072741753
5,0.91,8,1.39092805973
5,0.91,9,1.39098825239
5,0.91,10,1.39100631019
5,0.92,1,1
5,0.92,2,1.276
5,0.92,3,1.359376
5,0.92,4,1.384374976
5,0.92,5,1.39187500058
5,0.92,6,1.39412499999
5,0.92,7,1.3948
5,0.92,8,1.3950025
5,0.92,9,1.39506325
5,0.92,10,1.395081475
5,0.93,1,1
5,0.93,2,1.279
5,0.93,3,1.363141
5,0.93,4,1.388374039
5,0.93,5,1.39594414518
5,0.93,6,1.39821517295
5,0.93,7,1.39889648137
5,0.93,8,1.39910087389
5,0.93,9,1.39916219165
5,0.93,10,1.39918058698
5,0.94,1,1
5,0.94,2,1.282
5,0.94,3,1.366924
5,0.94,4,1.392395368
5,0.94,5,1.40003688338
5,0.94,6,1.4023293361
5,0.94,7,1.40301707195
5,0.94,8,1.4032233927
5,0.94,9,1.40328528893
5,0.94,10,1.4033038578
5,0.95,1,1
5,0.95,2,1.285
5,0.95,3,1.370725
5,0.95,4,1.396439125
5,0.95,5,1.40415341313
5,0.95,6,1.4064676988
5,0.95,7,1.40716198452
5,0.95,8,1.40737027023
5,0.95,9,1.40743275595
5,0.95,10,1.40745150166
5,0.96,1,1
5,0.96,2,1.288
5,0.96,3,1.374544
5,0.96,4,1.400505472
5,0.96,5,1.40829393434
5,0.96,6,1.41063047279
5,0.96,7,1.41133143433
5,0.96,8,1.41154172279
5,0.96,9,1.41160480933
5,0.96,10,1.41162373529
5,0.97,1,1
5,0.97,2,1.291
5,0.97,3,1.378381
5,0.97,4,1.404594571
5,0.97,5,1.41245864886
5,0.97,6,1.41481787216
5,0.97,7,1.41552563915
5,0.97,8,1.41573796925
5,0.97,9,1.41580166828
5,0.97,10,1.41582077799
5,0.98,1,1
5,0.98,2,1.294
5,0.98,3,1.382236
5,0.98,4,1.408706584
5,0.98,5,1.4166477605
5,0.98,6,1.41903011344
5,0.98,7,1.41974481932
5,0.98,8,1.41995923108
5,0.98,9,1.42002355461
5,0.98,10,1.42004285167
5,0.99,1,1
5,0.99,2,1.297
5,0.99,3,1.386109
5,0.99,4,1.412841673
5,0.99,5,1.42086147498
