WEP,r,k,Result
4,0.91,5,2.831453805
4,0.91,6,3.29016915755
4,0.91,7,3.74888477582
4,0.91,8,4.20760037018
4,0.91,9,4.66631596668
4,0.91,10,5.125031563
4,0.92,1,1
4,0.92,2,1.46
4,0.92,3,1.9232
4,0.92,4,2.386144
4,0.92,5,2.84910848
4,0.92,6,3.3120713216
4,0.92,7,3.77503429427
4,0.92,8,4.23799725646
4,0.92,9,4.70096021948
4,0.92,10,5.16392318244
4,0.93,1,1
4,0.93,2,1.465
4,0.93,3,1.93245
4,0.93,4,2.3997285
4,0.93,5,2.867019005
4,0.93,6,3.33430866965
4,0.93,7,3.80159839312
4,0.93,8,4.26888811248
4,0.93,9,4.73617783213
4,0.93,10,5.20346755175
4,0.94,1,1
4,0.94,2,1.47
4,0.94,3,1.9418
4,0.94,4,2.413492
4,0.94,5,2.88519048
4,0.94,6,3.3568885712
4,0.94,7,3.82858668573
4,0.94,8,4.30028479886
4,0.94,9,4.77198291207
4,0.94,10,5.24368102528
4,0.95,1,1
4,0.95,2,1.475
4,0.95,3,1.95125
4,0.95,4,2.4274375
4,0.95,5,2.903628125
4,0.95,6,3.37981859375
4,0.95,7,3.85600907031
4,0.95,8,4.33219954648
4,0.95,9,4.80839002268
4,0.95,10,5.28458049887
4,0.96,1,1
4,0.96,2,1.48
4,0.96,3,1.9608
4,0.96,4,2.441568
4,0.96,5,2.92233728
4,0.96,6,3.4031065088
4,0.96,7,3.88387573965
4,0.96,8,4.36464497041
4,0.96,9,4.84541420118
4,0.96,10,5.32618343195
4,0.97,1,1
4,0.97,2,1.485
4,0.97,3,1.97045
4,0.97,4,2.4558865
4,0.97,5,2.941323405
4,0.97,6,3.42676029785
4,0.97,7,3.91219719106
4,0.97,8,4.39763408427
4,0.97,9,4.88307097747
4,0.97,10,5.36850787068
4,0.98,1,1
4,0.98,2,1.49
4,0.98,3,1.9802
4,0.98,4,2.470396
4,0.98,5,2.96059208
4,0.98,6,3.4507881584
4,0.98,7,3.94098423683
4,0.98,8,4.43118031526
4,0.98,9,4.92137639369
4,0.98,10,5.41157247213
4,0.99,1,1
4,0.99,2,1.495
4,0.99,3,1.99005
4,0.99,4,2.4850995
4,0.99,5,2.980149005
4,0.99,6,3.47519850995
4,0.99,7,3.9702480149
4,0.99,8,4.46529751985
4,0.99,9,4.9603470248
4,0.99,10,5.45539652975
5,0.88,1,1
5,0.88,2,1.264
5,0.88,3,1.53232
5,0.88,4,1.8001216
5,0.88,5,2.067985408
5,0.88,6,2.33584175104
5,0.88,7,2.60369898988
5,0.88,8,2.87155612121
5,0.88,9,3.13941326545
5,0.88,10,3.40727040815
5,0.89,1,1
5,0.89,2,1.267
5,0.89,3,1.53763
5,0.89,4,1.8078607
5,0.89,5,2.078135323
5,0.89,6,2.34840511447
5,0.89,7,2.61867543741
5,0.89,8,2.88894570189
5,0.89,9,3.15921597279
5,0.89,10,3.42948624299
5,0.9,1,1
5,0.9,2,1.27
5,0.9,3,1.543
5,0.9,4,1.8157
5,0.9,5,2.08843
5,0.9,6,2.361157
5,0.9,7,2.6338843
5,0.9,8,2.90661157
5,0.9,9,3.179338843
5,0.9,10,3.4520661157
5,0.91,1,1
5,0.91,2,1.273
5,0.91,3,1.54843
5,0.91,4,1.8236413
5,0.91,5,2.098872283
5,0.91,6,2.37410149453
5,0.91,7,2.64933086549
5,0.91,8,2.92456022211
5,0.91,9,3.19978958001
5,0.91,10,3.4750189378
5,0.92,1,1
5,0.92,2,1.276
5,0.92,3,1.55392
5,0.92,4,1.8316864
5,0.92,5,2.109465088
5,0.92,6,2.38724279296
5,0.92,7,2.66502057656
5,0.92,8,2.94279835387
5,0.92,9,3.22057613169
5,0.92,10,3.49835390946
5,0.93,1,1
5,0.93,2,1.279
5,0.93,3,1.55947
5,0.93,4,1.8398371
5,0.93,5,2.120211403
5,0.93,6,2.40058520179
5,0.93,7,2.68095903587
